                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.40743,                0.54788,                0.87718,                0.98874,                0.99442,                0.99406,                0.95871,                0.27744,                 0.2352,                0.73293,              0.0033273,              0.0033273,              0.0033273
                      2,                0.37243,                0.31823,                0.85023,                0.97912,                0.99785,                0.98891,                0.94324,                0.31008,                0.27757,                0.74482,              0.0065947,              0.0065947,              0.0065947
                      3,                0.40013,                0.33546,                0.86546,                0.99056,                0.99518,                0.99289,                0.94454,                0.33273,                0.26236,                0.76594,              0.0097961,              0.0097961,              0.0097961
                      4,                0.40073,                0.33011,                0.86414,                 0.9875,                0.99497,                0.99221,                0.95347,                0.28034,                0.26096,                0.74398,               0.009703,               0.009703,               0.009703
                      5,                0.37371,                0.30115,                0.85652,                0.98597,                 0.9968,                0.99297,                  0.955,                0.27495,                0.25982,                0.75255,               0.009604,               0.009604,               0.009604
                      6,                0.35519,                0.28802,                0.85364,                0.99307,                0.99589,                0.99333,                0.95838,                0.26499,                0.22204,                0.75167,               0.009505,               0.009505,               0.009505
                      7,                0.34119,                0.27397,                 0.8504,                0.99077,                0.99726,                0.99189,                0.96114,                  0.262,                0.20509,                0.79654,               0.009406,               0.009406,               0.009406
                      8,                0.33121,                0.26403,                0.84631,                0.99584,                0.99253,                0.99389,                0.96334,                0.26252,                0.20474,                0.79052,               0.009307,               0.009307,               0.009307
                      9,                0.32539,                0.25642,                0.84428,                0.99317,                0.99674,                0.99286,                0.96623,                0.24696,                0.20177,                0.75447,               0.009208,               0.009208,               0.009208
                     10,                0.31599,                0.24677,                0.84253,                0.99404,                0.99302,                0.99391,                 0.9695,                0.23552,                0.17877,                0.73523,               0.009109,               0.009109,               0.009109
                     11,                0.30704,                0.24164,                0.84362,                 0.9909,                0.99531,                0.99313,                0.96576,                0.24725,                0.19075,                0.78638,                0.00901,                0.00901,                0.00901
                     12,                0.30563,                0.23783,                0.84045,                0.99354,                0.99543,                0.99309,                0.96601,                0.24348,                 0.2082,                0.77496,               0.008911,               0.008911,               0.008911
                     13,                0.29926,                 0.2323,                0.83789,                0.99405,                0.99262,                0.99376,                0.97015,                0.23182,                0.17531,                0.74343,               0.008812,               0.008812,               0.008812
                     14,                0.29581,                0.23041,                0.83635,                0.99429,                0.99298,                0.99351,                 0.9688,                0.22709,                0.16163,                 0.7302,               0.008713,               0.008713,               0.008713
                     15,                0.29095,                0.22391,                0.83469,                0.99487,                0.99452,                0.99349,                0.97056,                0.22989,                0.17165,                 0.7388,               0.008614,               0.008614,               0.008614
                     16,                0.28982,                0.22248,                0.83564,                0.99178,                0.99327,                0.99348,                0.97276,                0.22401,                0.16619,                 0.7367,               0.008515,               0.008515,               0.008515
                     17,                0.28658,                0.22081,                0.83823,                0.99434,                0.99406,                0.99372,                0.97104,                0.22038,                0.16078,                 0.7274,               0.008416,               0.008416,               0.008416
                     18,                0.28426,                0.21705,                0.83402,                0.99396,                0.99406,                0.99349,                0.97346,                0.21367,                0.15482,                0.72554,               0.008317,               0.008317,               0.008317
                     19,                0.28041,                 0.2125,                0.83392,                0.99615,                0.99543,                0.99456,                0.97295,                0.22148,                0.16021,                0.78322,               0.008218,               0.008218,               0.008218
                     20,                0.27369,                0.20859,                0.83298,                0.99469,                 0.9936,                 0.9945,                0.97458,                0.21592,                0.15146,                0.72775,               0.008119,               0.008119,               0.008119
                     21,                 0.2758,                0.20874,                0.83188,                 0.9942,                0.99512,                0.99326,                0.97264,                0.21458,                0.14709,                0.72658,                0.00802,                0.00802,                0.00802
                     22,                0.27219,                0.20413,                0.83028,                0.99619,                0.99514,                0.99406,                0.97535,                0.21186,                0.14547,                0.72587,               0.007921,               0.007921,               0.007921
                     23,                0.27108,                0.20491,                0.83231,                0.99608,                 0.9924,                0.99369,                0.97456,                0.20985,                0.14538,                0.73181,               0.007822,               0.007822,               0.007822
                     24,                0.26647,                0.20019,                0.83013,                0.99104,                0.99634,                0.99405,                0.97694,                0.20895,                0.14092,                0.72693,               0.007723,               0.007723,               0.007723
                     25,                0.26646,                0.20209,                 0.8306,                0.99622,                0.99449,                0.99408,                0.97548,                0.20765,                0.13858,                 0.7282,               0.007624,               0.007624,               0.007624
                     26,                0.26379,                0.19648,                 0.8308,                0.99349,                0.99664,                0.99393,                0.97735,                0.20687,                0.14584,                0.78067,               0.007525,               0.007525,               0.007525
                     27,                0.26315,                0.19686,                 0.8304,                0.99395,                0.99718,                0.99416,                0.97785,                0.20647,                0.14207,                0.77532,               0.007426,               0.007426,               0.007426
                     28,                0.26027,                0.19574,                 0.8294,                0.99317,                0.99403,                0.99469,                0.97697,                 0.2043,                0.14311,                0.73581,               0.007327,               0.007327,               0.007327
                     29,                0.25669,                0.19372,                0.82915,                0.99575,                0.99426,                 0.9942,                0.97707,                0.19709,                0.13562,                0.73679,               0.007228,               0.007228,               0.007228
                     30,                0.25687,                0.19143,                0.82772,                0.99588,                0.99432,                0.99423,                0.97692,                0.19984,                0.13972,                0.73829,               0.007129,               0.007129,               0.007129
                     31,                0.25619,                0.19093,                0.83186,                0.99376,                 0.9947,                0.99399,                0.97693,                 0.2041,                0.14542,                0.77636,                0.00703,                0.00703,                0.00703
                     32,                0.25392,                0.18828,                0.82898,                0.99358,                0.99647,                0.99412,                0.97707,                0.20271,                0.14539,                0.76609,               0.006931,               0.006931,               0.006931
                     33,                0.25157,                0.18563,                0.82672,                0.99403,                0.99726,                0.99396,                0.97694,                0.20174,                0.13982,                0.75609,               0.006832,               0.006832,               0.006832
                     34,                0.25041,                0.18542,                0.82695,                0.99518,                 0.9961,                0.99427,                0.97651,                0.19832,                0.14208,                0.73817,               0.006733,               0.006733,               0.006733
