                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38727,                0.52074,                0.88034,                0.98464,                0.99771,                0.99164,                0.95765,                0.28267,                 0.2497,                0.73987,              0.0033273,              0.0033273,              0.0033273
                      2,                0.36449,                0.30334,                0.86007,                0.98641,                0.99749,                0.99061,                0.95274,                0.28298,                0.26062,                0.81332,              0.0065947,              0.0065947,              0.0065947
                      3,                0.39409,                0.32326,                 0.8759,                0.98665,                 0.9904,                0.99343,                 0.9496,                0.30774,                  0.253,                0.80919,              0.0097961,              0.0097961,              0.0097961
                      4,                0.39904,                0.32134,                0.87566,                0.99457,                0.99243,                0.99373,                0.95404,                0.29768,                0.25881,                0.80677,               0.009703,               0.009703,               0.009703
                      5,                0.36342,                0.28992,                 0.8628,                0.98253,                0.99909,                0.99095,                0.95969,                0.27244,                0.22244,                0.81239,               0.009604,               0.009604,               0.009604
                      6,                 0.3461,                0.27414,                0.86115,                 0.9945,                0.99576,                0.99387,                0.96392,                0.25592,                0.18718,                0.81334,               0.009505,               0.009505,               0.009505
                      7,                0.33242,                0.26223,                0.85735,                0.99043,                0.99767,                  0.993,                0.96692,                0.25278,                0.20434,                0.79267,               0.009406,               0.009406,               0.009406
                      8,                0.32225,                 0.2514,                0.85294,                0.98787,                0.99295,                 0.9933,                0.96789,                0.24178,                0.18184,                 0.8052,               0.009307,               0.009307,               0.009307
                      9,                0.31181,                0.24543,                0.84943,                0.98968,                0.99726,                0.99278,                0.96813,                0.23469,                0.19729,                0.79784,               0.009208,               0.009208,               0.009208
                     10,                0.30476,                0.23485,                0.84728,                0.99283,                0.99348,                0.99367,                0.96953,                0.22902,                0.17752,                0.79709,               0.009109,               0.009109,               0.009109
                     11,                0.29629,                0.22874,                0.84894,                0.99363,                0.99734,                0.99358,                0.96811,                0.22884,                0.15153,                0.80054,                0.00901,                0.00901,                0.00901
                     12,                0.29364,                0.22364,                0.84628,                0.99234,                0.99793,                0.99415,                0.97091,                0.22203,                0.16078,                0.79736,               0.008911,               0.008911,               0.008911
                     13,                0.29069,                0.22282,                0.84319,                0.99447,                0.99561,                0.99353,                 0.9699,                 0.2182,                0.15975,                0.79666,               0.008812,               0.008812,               0.008812
                     14,                 0.2854,                0.21859,                0.84218,                0.99316,                0.99555,                0.99318,                0.97194,                0.22402,                0.15562,                0.79908,               0.008713,               0.008713,               0.008713
                     15,                0.28003,                 0.2121,                0.84117,                0.99467,                0.99497,                0.99403,                0.97332,                0.21933,                0.15106,                0.79847,               0.008614,               0.008614,               0.008614
                     16,                0.27739,                0.21011,                 0.8421,                0.99543,                0.99617,                0.99364,                0.97563,                0.21245,                0.14409,                0.79633,               0.008515,               0.008515,               0.008515
                     17,                0.27374,                0.20805,                0.84242,                0.99514,                0.99794,                0.99371,                0.97401,                0.21336,                0.14106,                0.79484,               0.008416,               0.008416,               0.008416
                     18,                0.27354,                0.20739,                0.83914,                0.99483,                0.99496,                0.99335,                0.97455,                0.20798,                0.14106,                0.79384,               0.008317,               0.008317,               0.008317
                     19,                 0.2722,                0.20397,                0.83936,                0.99477,                0.99307,                0.99445,                0.97611,                0.21066,                0.14936,                0.79378,               0.008218,               0.008218,               0.008218
                     20,                0.26471,                0.20023,                0.84006,                0.99409,                0.99543,                0.99402,                0.97505,                 0.2069,                0.13765,                0.79299,               0.008119,               0.008119,               0.008119
                     21,                0.26259,                0.19766,                0.83862,                0.99199,                0.99726,                0.99392,                 0.9765,                0.20175,                0.13602,                0.79184,                0.00802,                0.00802,                0.00802
